,date,dcoilwtico,7_avg_oil,30_avg_oil,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_14,lag_28,lag_60,lag_120,lag_180,lag_365
41,2/27/2013,92.84,93.67571429,95.745,92.63,92.74,93.12,92.79,94.92,96.69,95.95,95.84,95.61,,,,
42,2/28/2013,92.03,93.01,95.62966667,92.84,92.63,92.74,93.12,92.79,94.92,96.69,95.71,95.61,,,,
43,3/1/2013,90.71,92.40857143,95.46633333,92.03,92.84,92.63,92.74,93.12,92.79,94.92,97.01,96.09,,,,
44,3/4/2013,90.13,92.02857143,95.28366667,90.71,92.03,92.84,92.63,92.74,93.12,92.79,97.48,95.06,,,,
45,3/5/2013,90.88,91.70857143,95.11,90.13,90.71,92.03,92.84,92.63,92.74,93.12,97.03,95.35,,,,
46,3/6/2013,90.47,91.38428571,94.957,90.88,90.13,90.71,92.03,92.84,92.63,92.74,97.3,95.15,,,,
47,3/7/2013,91.53,91.22714286,94.82966667,90.47,90.88,90.13,90.71,92.03,92.84,92.63,95.95,95.95,,,,
48,3/8/2013,92.01,91.10857143,94.725,91.53,90.47,90.88,90.13,90.71,92.03,92.84,95.95,97.62,,,,
49,3/11/2013,92.07,91.11428571,94.59566667,92.01,91.53,90.47,90.88,90.13,90.71,92.03,96.69,97.98,,,,
50,3/12/2013,92.44,91.36142857,94.423,92.07,92.01,91.53,90.47,90.88,90.13,90.71,94.92,97.65,,,,
51,3/13/2013,92.47,91.69571429,94.23933333,92.44,92.07,92.01,91.53,90.47,90.88,90.13,92.79,97.46,,,,
52,3/14/2013,93.03,92.00285714,94.08533333,92.47,92.44,92.07,92.01,91.53,90.47,90.88,93.12,96.21,,,,
53,3/15/2013,93.49,92.43428571,93.953,93.03,92.47,92.44,92.07,92.01,91.53,90.47,92.74,96.68,,,,
54,3/18/2013,93.71,92.74571429,93.86966667,93.49,93.03,92.47,92.44,92.07,92.01,91.53,92.63,96.44,,,,
55,3/19/2013,92.44,92.80714286,93.72833333,93.71,93.49,93.03,92.47,92.44,92.07,92.01,92.84,95.84,,,,
56,3/20/2013,93.21,92.97,93.62066667,92.44,93.71,93.49,93.03,92.47,92.44,92.07,92.03,95.71,,,,
57,3/21/2013,92.46,92.97285714,93.508,93.21,92.44,93.71,93.49,93.03,92.47,92.44,90.71,97.01,,,,
58,3/22/2013,93.41,93.10714286,93.43133333,92.46,93.21,92.44,93.71,93.49,93.03,92.47,90.13,97.48,,,,
59,3/25/2013,94.55,93.32428571,93.34933333,93.41,92.46,93.21,92.44,93.71,93.49,93.03,90.88,97.03,,,,
60,3/26/2013,95.99,93.68142857,93.29966667,94.55,93.41,92.46,93.21,92.44,93.71,93.49,90.47,97.3,93.14,,,
61,3/27/2013,96.53,94.08428571,93.283,95.99,94.55,93.41,92.46,93.21,92.44,93.71,91.53,95.95,93.14,,,
62,3/28/2013,97.24,94.77,93.281,96.53,95.99,94.55,93.41,92.46,93.21,92.44,92.01,95.95,92.97,,,
63,3/29/2013,97.24,95.34571429,93.324,97.24,96.53,95.99,94.55,93.41,92.46,93.21,92.07,96.69,93.12,,,
64,4/1/2013,97.1,96.00857143,93.36233333,97.24,97.24,96.53,95.99,94.55,93.41,92.46,92.44,94.92,93.2,,,
65,4/2/2013,97.23,96.55428571,93.38033333,97.1,97.24,97.24,96.53,95.99,94.55,93.41,92.47,92.79,93.21,,,
66,4/3/2013,95.02,96.62142857,93.38366667,97.23,97.1,97.24,97.24,96.53,95.99,94.55,93.03,93.12,93.08,,,
67,4/4/2013,93.26,96.23142857,93.39933333,95.02,97.23,97.1,97.24,97.24,96.53,95.99,93.49,92.74,93.81,,,
68,4/5/2013,92.76,95.69285714,93.38733333,93.26,95.02,97.23,97.1,97.24,97.24,96.53,93.71,92.63,93.6,,,
69,4/8/2013,93.36,95.13857143,93.408,92.76,93.26,95.02,97.23,97.1,97.24,97.24,92.44,92.84,94.27,,,
70,4/9/2013,94.18,94.70142857,93.45966667,93.36,92.76,93.26,95.02,97.23,97.1,97.24,93.21,92.03,93.26,,,
71,4/10/2013,94.59,94.34285714,93.518,94.18,93.36,92.76,93.26,95.02,97.23,97.1,92.46,90.71,94.28,,,
72,4/11/2013,93.44,93.80142857,93.565,94.59,94.18,93.36,92.76,93.26,95.02,97.23,93.41,90.13,95.49,,,
73,4/12/2013,91.23,93.26,93.58233333,93.44,94.59,94.18,93.36,92.76,93.26,95.02,94.55,90.88,95.61,,,
74,4/15/2013,88.75,92.61571429,93.53633333,91.23,93.44,94.59,94.18,93.36,92.76,93.26,95.99,90.47,95.61,,,
75,4/16/2013,88.73,92.04,93.46466667,88.75,91.23,93.44,94.59,94.18,93.36,92.76,96.53,91.53,96.09,,,
76,4/17/2013,86.65,91.08142857,93.33733333,88.73,88.75,91.23,93.44,94.59,94.18,93.36,97.24,92.01,95.06,,,
77,4/18/2013,87.83,90.17428571,93.214,86.65,88.73,88.75,91.23,93.44,94.59,94.18,97.24,92.07,95.35,,,
78,4/19/2013,88.04,89.23857143,93.08166667,87.83,86.65,88.73,88.75,91.23,93.44,94.59,97.1,92.44,95.15,,,
79,4/22/2013,88.81,88.57714286,92.973,88.04,87.83,86.65,88.73,88.75,91.23,93.44,97.23,92.47,95.95,,,
80,4/23/2013,89.21,88.28857143,92.86533333,88.81,88.04,87.83,86.65,88.73,88.75,91.23,95.02,93.03,97.62,,,
81,4/24/2013,91.07,88.62,92.81866667,89.21,88.81,88.04,87.83,86.65,88.73,88.75,93.26,93.49,97.98,,,
82,4/25/2013,93.27,89.26857143,92.82666667,91.07,89.21,88.81,88.04,87.83,86.65,88.73,92.76,93.71,97.65,,,
83,4/26/2013,92.63,90.12285714,92.798,93.27,91.07,89.21,88.81,88.04,87.83,86.65,93.36,92.44,97.46,,,
84,4/29/2013,94.09,91.01714286,92.81066667,92.63,93.27,91.07,89.21,88.81,88.04,87.83,94.18,93.21,96.21,,,
85,4/30/2013,93.22,91.75714286,92.83666667,94.09,92.63,93.27,91.07,89.21,88.81,88.04,94.59,92.46,96.68,,,
86,5/1/2013,90.74,92.03285714,92.75433333,93.22,94.09,92.63,93.27,91.07,89.21,88.81,93.44,93.41,96.44,,,
87,5/2/2013,93.7,92.67428571,92.79566667,90.74,93.22,94.09,92.63,93.27,91.07,89.21,91.23,94.55,95.84,,,
88,5/3/2013,95.25,93.27142857,92.857,93.7,90.74,93.22,94.09,92.63,93.27,91.07,88.75,95.99,95.71,,,
89,5/6/2013,95.8,93.63285714,92.89866667,95.25,93.7,90.74,93.22,94.09,92.63,93.27,88.73,96.53,97.01,,,
90,5/7/2013,95.28,94.01142857,92.875,95.8,95.25,93.7,90.74,93.22,94.09,92.63,86.65,97.24,97.48,,,
91,5/8/2013,96.24,94.31857143,92.86533333,95.28,95.8,95.25,93.7,90.74,93.22,94.09,87.83,97.24,97.03,,,
92,5/9/2013,96.09,94.72857143,92.827,96.24,95.28,95.8,95.25,93.7,90.74,93.22,88.04,97.1,97.3,,,
93,5/10/2013,95.81,95.45285714,92.77933333,96.09,96.24,95.28,95.8,95.25,93.7,90.74,88.81,97.23,95.95,,,
94,5/13/2013,94.76,95.60428571,92.70133333,95.81,96.09,96.24,95.28,95.8,95.25,93.7,89.21,95.02,95.95,,,
95,5/14/2013,93.96,95.42,92.59233333,94.76,95.81,96.09,96.24,95.28,95.8,95.25,91.07,93.26,96.69,,,
96,5/15/2013,93.95,95.15571429,92.55666667,93.96,94.76,95.81,96.09,96.24,95.28,95.8,93.27,92.76,94.92,,,
97,5/16/2013,94.85,95.09428571,92.60966667,93.95,93.96,94.76,95.81,96.09,96.24,95.28,92.63,93.36,92.79,,,
98,5/17/2013,95.72,95.02,92.70833333,94.85,93.95,93.96,94.76,95.81,96.09,96.24,94.09,94.18,93.12,,,
99,5/20/2013,96.29,95.04857143,92.806,95.72,94.85,93.95,93.96,94.76,95.81,96.09,93.22,94.59,92.74,,,
100,5/21/2013,95.55,95.01142857,92.85166667,96.29,95.72,94.85,93.95,93.96,94.76,95.81,90.74,93.44,92.63,,,
101,5/22/2013,93.98,94.9,92.83133333,95.55,96.29,95.72,94.85,93.95,93.96,94.76,93.7,91.23,92.84,,,
102,5/23/2013,94.12,94.92285714,92.854,93.98,95.55,96.29,95.72,94.85,93.95,93.96,95.25,88.75,92.03,,,
103,5/24/2013,93.84,94.90714286,92.941,94.12,93.98,95.55,96.29,95.72,94.85,93.95,95.8,88.73,90.71,,,
104,5/27/2013,93.84,94.76285714,93.11066667,93.84,94.12,93.98,95.55,96.29,95.72,94.85,95.28,86.65,90.13,,,
105,5/28/2013,94.65,94.61,93.308,93.84,93.84,94.12,93.98,95.55,96.29,95.72,96.24,87.83,90.88,,,
106,5/29/2013,93.13,94.15857143,93.524,94.65,93.84,93.84,94.12,93.98,95.55,96.29,96.09,88.04,90.47,,,
107,5/30/2013,93.57,93.87571429,93.71533333,93.13,94.65,93.84,93.84,94.12,93.98,95.55,95.81,88.81,91.53,,,
108,5/31/2013,91.93,93.58285714,93.845,93.57,93.13,94.65,93.84,93.84,94.12,93.98,94.76,89.21,92.01,,,
109,6/3/2013,93.41,93.48142857,93.99833333,91.93,93.57,93.13,94.65,93.84,93.84,94.12,93.96,91.07,92.07,,,
110,6/4/2013,93.36,93.41285714,94.13666667,93.41,91.93,93.57,93.13,94.65,93.84,93.84,93.95,93.27,92.44,,,
111,6/5/2013,93.66,93.38714286,94.223,93.36,93.41,91.93,93.57,93.13,94.65,93.84,94.85,92.63,92.47,,,
112,6/6/2013,94.71,93.39571429,94.271,93.66,93.36,93.41,91.93,93.57,93.13,94.65,95.72,94.09,93.03,,,
113,6/7/2013,96.11,93.82142857,94.387,94.71,93.66,93.36,93.41,91.93,93.57,93.13,96.29,93.22,93.49,,,
114,6/10/2013,95.82,94.14285714,94.44466667,96.11,94.71,93.66,93.36,93.41,91.93,93.57,95.55,90.74,93.71,,,
115,6/11/2013,95.5,94.65285714,94.52066667,95.82,96.11,94.71,93.66,93.36,93.41,91.93,93.98,93.7,92.44,,,
116,6/12/2013,95.98,95.02,94.69533333,95.5,95.82,96.11,94.71,93.66,93.36,93.41,94.12,95.25,93.21,,,
117,6/13/2013,96.66,95.49142857,94.794,95.98,95.5,95.82,96.11,94.71,93.66,93.36,93.84,95.8,92.46,,,
118,6/14/2013,97.83,96.08714286,94.88,96.66,95.98,95.5,95.82,96.11,94.71,93.66,93.84,95.28,93.41,,,
119,6/17/2013,97.86,96.53714286,94.94866667,97.83,96.66,95.98,95.5,95.82,96.11,94.71,94.65,96.24,94.55,,,
120,6/18/2013,98.46,96.87285714,95.05466667,97.86,97.83,96.66,95.98,95.5,95.82,96.11,93.13,96.09,95.99,93.14,,
121,6/19/2013,98.24,97.21857143,95.12133333,98.46,97.86,97.83,96.66,95.98,95.5,95.82,93.57,95.81,96.53,93.14,,
122,6/20/2013,94.89,97.13142857,95.08133333,98.24,98.46,97.86,97.83,96.66,95.98,95.5,91.93,94.76,97.24,92.97,,
123,6/21/2013,93.81,96.82142857,95.01466667,94.89,98.24,98.46,97.86,97.83,96.66,95.98,93.41,93.96,97.24,93.12,,
124,6/24/2013,95.07,96.59428571,95.025,93.81,94.89,98.24,98.46,97.86,97.83,96.66,93.36,93.95,97.1,93.2,,
125,6/25/2013,95.25,96.22571429,95.068,95.07,93.81,94.89,98.24,98.46,97.86,97.83,93.66,94.85,97.23,93.21,,
126,6/26/2013,95.47,95.88428571,95.11866667,95.25,95.07,93.81,94.89,98.24,98.46,97.86,94.71,95.72,95.02,93.08,,
127,6/27/2013,97,95.67571429,95.19033333,95.47,95.25,95.07,93.81,94.89,98.24,98.46,96.11,96.29,93.26,93.81,,
128,6/28/2013,96.36,95.40714286,95.21166667,97,95.47,95.25,95.07,93.81,94.89,98.24,95.82,95.55,92.76,93.6,,
129,7/1/2013,97.94,95.84285714,95.26666667,96.36,97,95.47,95.25,95.07,93.81,94.89,95.5,93.98,93.36,94.27,,
130,7/2/2013,99.65,96.67714286,95.40333333,97.94,96.36,97,95.47,95.25,95.07,93.81,95.98,94.12,94.18,93.26,,
131,7/3/2013,101.92,97.65571429,95.668,99.65,97.94,96.36,97,95.47,95.25,95.07,96.66,93.84,94.59,94.28,,
132,7/4/2013,101.92,98.60857143,95.928,101.92,99.65,97.94,96.36,97,95.47,95.25,97.83,93.84,93.44,95.49,,
133,7/5/2013,103.09,99.69714286,96.23633333,101.92,101.92,99.65,97.94,96.36,97,95.47,97.86,94.65,91.23,95.61,,
134,7/8/2013,103.03,100.5585714,96.54266667,103.09,101.92,101.92,99.65,97.94,96.36,97,98.46,93.13,88.75,95.61,,
135,7/9/2013,103.46,101.5728571,96.83633333,103.03,103.09,101.92,101.92,99.65,97.94,96.36,98.24,93.57,88.73,96.09,,
136,7/10/2013,106.41,102.7828571,97.279,103.46,103.03,103.09,101.92,101.92,99.65,97.94,94.89,91.93,86.65,95.06,,
137,7/11/2013,104.77,103.5142857,97.65233333,106.41,103.46,103.03,103.09,101.92,101.92,99.65,93.81,93.41,87.83,95.35,,
138,7/12/2013,105.85,104.0757143,98.11633333,104.77,106.41,103.46,103.03,103.09,101.92,101.92,95.07,93.36,88.04,95.15,,
139,7/15/2013,106.2,104.6871429,98.54266667,105.85,104.77,106.41,103.46,103.03,103.09,101.92,95.25,93.66,88.81,95.95,,
140,7/16/2013,105.88,105.0857143,98.96,106.2,105.85,104.77,106.41,103.46,103.03,103.09,95.47,94.71,89.21,97.62,,
141,7/17/2013,106.39,105.5657143,99.38433333,105.88,106.2,105.85,104.77,106.41,103.46,103.03,97,96.11,91.07,97.98,,
142,7/18/2013,107.94,106.2057143,99.82533333,106.39,105.88,106.2,105.85,104.77,106.41,103.46,96.36,95.82,93.27,97.65,,
143,7/19/2013,108,106.4328571,100.2216667,107.94,106.39,105.88,106.2,105.85,104.77,106.41,97.94,95.5,92.63,97.46,,
144,7/22/2013,106.61,106.6957143,100.5813333,108,107.94,106.39,105.88,106.2,105.85,104.77,99.65,95.98,94.09,96.21,,
145,7/23/2013,107.13,106.8785714,100.969,106.61,108,107.94,106.39,105.88,106.2,105.85,101.92,96.66,93.22,96.68,,
146,7/24/2013,105.41,106.7657143,101.2833333,107.13,106.61,108,107.94,106.39,105.88,106.2,101.92,97.83,90.74,96.44,,
147,7/25/2013,105.47,106.7071429,101.577,105.41,107.13,106.61,108,107.94,106.39,105.88,103.09,97.86,93.7,95.84,,
148,7/26/2013,104.76,106.4742857,101.808,105.47,105.41,107.13,106.61,108,107.94,106.39,103.03,98.46,95.25,95.71,,
149,7/29/2013,104.61,105.9985714,102.033,104.76,105.47,105.41,107.13,106.61,108,107.94,103.46,98.24,95.8,97.01,,
150,7/30/2013,103.14,105.3042857,102.189,104.61,104.76,105.47,105.41,107.13,106.61,108,106.41,94.89,95.28,97.48,,
151,7/31/2013,105.1,105.0885714,102.4176667,103.14,104.61,104.76,105.47,105.41,107.13,106.61,104.77,93.81,96.24,97.03,,
152,8/1/2013,107.93,105.2028571,102.8523333,105.1,103.14,104.61,104.76,105.47,105.41,107.13,105.85,95.07,96.09,97.3,,
153,8/2/2013,106.94,105.4214286,103.29,107.93,105.1,103.14,104.61,104.76,105.47,105.41,106.2,95.25,95.81,95.95,,
154,8/5/2013,106.61,105.5842857,103.6746667,106.94,107.93,105.1,103.14,104.61,104.76,105.47,105.88,95.47,94.76,95.95,,
155,8/6/2013,105.32,105.6642857,104.0103333,106.61,106.94,107.93,105.1,103.14,104.61,104.76,106.39,97,93.96,96.69,,
156,8/7/2013,104.41,105.6357143,104.3083333,105.32,106.61,106.94,107.93,105.1,103.14,104.61,107.94,96.36,93.95,94.92,,
157,8/8/2013,103.45,105.68,104.5233333,104.41,105.32,106.61,106.94,107.93,105.1,103.14,108,97.94,94.85,92.79,,
158,8/9/2013,106.04,105.8142857,104.846,103.45,104.41,105.32,106.61,106.94,107.93,105.1,106.61,99.65,95.72,93.12,,
159,8/12/2013,106.19,105.5657143,105.121,106.04,103.45,104.41,105.32,106.61,106.94,107.93,107.13,101.92,96.29,92.74,,
160,8/13/2013,106.78,105.5428571,105.3586667,106.19,106.04,103.45,104.41,105.32,106.61,106.94,105.41,101.92,95.55,92.63,,
161,8/14/2013,106.89,105.5828571,105.5243333,106.78,106.19,106.04,103.45,104.41,105.32,106.61,105.47,103.09,93.98,92.84,,
162,8/15/2013,107.43,105.8842857,105.708,106.89,106.78,106.19,106.04,103.45,104.41,105.32,104.76,103.03,94.12,92.03,,
163,8/16/2013,107.58,106.3371429,105.8576667,107.43,106.89,106.78,106.19,106.04,103.45,104.41,104.61,103.46,93.84,90.71,,
164,8/19/2013,107.14,106.8642857,105.9946667,107.58,107.43,106.89,106.78,106.19,106.04,103.45,103.14,106.41,93.84,90.13,,
165,8/20/2013,104.9,106.7014286,106.0426667,107.14,107.58,107.43,106.89,106.78,106.19,106.04,105.1,104.77,94.65,90.88,,
166,8/21/2013,103.93,106.3785714,105.96,104.9,107.14,107.58,107.43,106.89,106.78,106.19,107.93,105.85,93.13,90.47,,
167,8/22/2013,104.93,106.1142857,105.9653333,103.93,104.9,107.14,107.58,107.43,106.89,106.78,106.94,106.2,93.57,91.53,,
168,8/23/2013,106.48,106.0557143,105.9863333,104.93,103.93,104.9,107.14,107.58,107.43,106.89,106.61,105.88,91.93,92.01,,
169,8/26/2013,105.88,105.8342857,105.9756667,106.48,104.93,103.93,104.9,107.14,107.58,107.43,105.32,106.39,93.41,92.07,,
170,8/27/2013,109.11,106.0528571,106.0833333,105.88,106.48,104.93,103.93,104.9,107.14,107.58,104.41,107.94,93.36,92.44,,
171,8/28/2013,110.17,106.4857143,106.2093333,109.11,105.88,106.48,104.93,103.93,104.9,107.14,103.45,108,93.66,92.47,,
172,8/29/2013,108.51,107.0014286,106.2283333,110.17,109.11,105.88,106.48,104.93,103.93,104.9,106.04,106.61,94.71,93.03,,
173,8/30/2013,107.98,107.58,106.2276667,108.51,110.17,109.11,105.88,106.48,104.93,103.93,106.19,107.13,96.11,93.49,,
174,9/2/2013,107.98,108.0157143,106.2733333,107.98,108.51,110.17,109.11,105.88,106.48,104.93,106.78,105.41,95.82,93.71,,
175,9/3/2013,108.67,108.3285714,106.3246667,107.98,107.98,108.51,110.17,109.11,105.88,106.48,106.89,105.47,95.5,92.44,,
176,9/4/2013,107.29,108.53,106.3873333,108.67,107.98,107.98,108.51,110.17,109.11,105.88,107.43,104.76,95.98,93.21,,
177,9/5/2013,108.5,108.4428571,106.4883333,107.29,108.67,107.98,107.98,108.51,110.17,109.11,107.58,104.61,96.66,92.46,,
178,9/6/2013,110.62,108.5071429,106.6836667,108.5,107.29,108.67,107.98,107.98,108.51,110.17,107.14,103.14,97.83,93.41,,
179,9/9/2013,109.62,108.6657143,106.8506667,110.62,108.5,107.29,108.67,107.98,107.98,108.51,104.9,105.1,97.86,94.55,,
180,9/10/2013,107.48,108.5942857,106.9953333,109.62,110.62,108.5,107.29,108.67,107.98,107.98,103.93,107.93,98.46,95.99,93.14,
181,9/11/2013,107.65,108.5471429,107.0803333,107.48,109.62,110.62,108.5,107.29,108.67,107.98,104.93,106.94,98.24,96.53,93.14,
182,9/12/2013,108.72,108.5542857,107.1066667,107.65,107.48,109.62,110.62,108.5,107.29,108.67,106.48,106.61,94.89,97.24,92.97,
183,9/13/2013,108.31,108.7,107.1523333,108.72,107.65,107.48,109.62,110.62,108.5,107.29,105.88,105.32,93.81,97.24,93.12,
184,9/16/2013,106.54,108.42,107.15,108.31,108.72,107.65,107.48,109.62,110.62,108.5,109.11,104.41,95.07,97.1,93.2,
185,9/17/2013,105.36,107.6685714,107.1513333,106.54,108.31,108.72,107.65,107.48,109.62,110.62,110.17,103.45,95.25,97.23,93.21,
186,9/18/2013,108.23,107.47,107.2786667,105.36,106.54,108.31,108.72,107.65,107.48,109.62,108.51,106.04,95.47,95.02,93.08,
187,9/19/2013,106.26,107.2957143,107.3723333,108.23,105.36,106.54,108.31,108.72,107.65,107.48,107.98,106.19,97,93.26,93.81,
188,9/20/2013,104.7,106.8742857,107.3276667,106.26,108.23,105.36,106.54,108.31,108.72,107.65,107.98,106.78,96.36,92.76,93.6,
189,9/23/2013,103.62,106.1457143,107.242,104.7,106.26,108.23,105.36,106.54,108.31,108.72,108.67,106.89,97.94,93.36,94.27,
190,9/24/2013,103.22,105.4185714,107.1233333,103.62,104.7,106.26,108.23,105.36,106.54,108.31,107.29,107.43,99.65,94.18,93.26,
191,9/25/2013,102.68,104.8671429,106.983,103.22,103.62,104.7,106.26,108.23,105.36,106.54,108.5,107.58,101.92,94.59,94.28,
192,9/26/2013,103.1,104.5442857,106.8386667,102.68,103.22,103.62,104.7,106.26,108.23,105.36,110.62,107.14,101.92,93.44,95.49,
193,9/27/2013,102.86,103.7771429,106.6813333,103.1,102.68,103.22,103.62,104.7,106.26,108.23,109.62,104.9,103.09,91.23,95.61,
194,9/30/2013,102.36,103.22,106.522,102.86,103.1,102.68,103.22,103.62,104.7,106.26,107.48,103.93,103.03,88.75,95.61,
195,10/1/2013,102.09,102.8471429,106.4283333,102.36,102.86,103.1,102.68,103.22,103.62,104.7,107.65,104.93,103.46,88.73,96.09,
196,10/2/2013,104.15,102.9228571,106.4356667,102.09,102.36,102.86,103.1,102.68,103.22,103.62,108.72,106.48,106.41,86.65,95.06,
197,10/3/2013,103.29,102.9328571,106.381,104.15,102.09,102.36,102.86,103.1,102.68,103.22,108.31,105.88,104.77,87.83,95.35,
198,10/4/2013,103.83,103.0971429,106.2926667,103.29,104.15,102.09,102.36,102.86,103.1,102.68,106.54,109.11,105.85,88.04,95.15,
199,10/7/2013,103.07,103.0928571,106.199,103.83,103.29,104.15,102.09,102.36,102.86,103.1,105.36,110.17,106.2,88.81,95.95,
200,10/8/2013,103.54,103.19,106.0133333,103.07,103.83,103.29,104.15,102.09,102.36,102.86,108.23,108.51,105.88,89.21,97.62,
201,10/9/2013,101.63,103.0857143,105.7286667,103.54,103.07,103.83,103.29,104.15,102.09,102.36,106.26,107.98,106.39,91.07,97.98,
202,10/10/2013,103.08,103.2271429,105.5476667,101.63,103.54,103.07,103.83,103.29,104.15,102.09,104.7,107.98,107.94,93.27,97.65,
203,10/11/2013,102.17,102.9442857,105.354,103.08,101.63,103.54,103.07,103.83,103.29,104.15,103.62,108.67,108,92.63,97.46,
204,10/14/2013,102.46,102.8257143,105.17,102.17,103.08,101.63,103.54,103.07,103.83,103.29,103.22,107.29,106.61,94.09,96.21,
205,10/15/2013,101.15,102.4428571,104.9193333,102.46,102.17,103.08,101.63,103.54,103.07,103.83,102.68,108.5,107.13,93.22,96.68,
206,10/16/2013,102.34,102.3385714,104.7543333,101.15,102.46,102.17,103.08,101.63,103.54,103.07,103.1,110.62,105.41,90.74,96.44,
207,10/17/2013,100.72,101.9357143,104.495,102.34,101.15,102.46,102.17,103.08,101.63,103.54,102.86,109.62,105.47,93.7,95.84,
208,10/18/2013,100.87,101.8271429,104.17,100.72,102.34,101.15,102.46,102.17,103.08,101.63,102.36,107.48,104.76,95.25,95.71,
