,date,dcoilwtico
162,2013-08-15,107.43
163,2013-08-16,107.58
164,2013-08-19,107.14
165,2013-08-20,104.9
166,2013-08-21,103.93
167,2013-08-22,104.93
168,2013-08-23,106.48
169,2013-08-26,105.88
170,2013-08-27,109.11
171,2013-08-28,110.17
172,2013-08-29,108.51
173,2013-08-30,107.98
174,2013-09-02,107.98
175,2013-09-03,108.67
176,2013-09-04,107.29
177,2013-09-05,108.5
178,2013-09-06,110.62
179,2013-09-09,109.62
180,2013-09-10,107.48
181,2013-09-11,107.65
182,2013-09-12,108.72
183,2013-09-13,108.31
184,2013-09-16,106.54
185,2013-09-17,105.36
186,2013-09-18,108.23
187,2013-09-19,106.26
188,2013-09-20,104.7
189,2013-09-23,103.62
190,2013-09-24,103.22
191,2013-09-25,102.68
192,2013-09-26,103.1
193,2013-09-27,102.86
194,2013-09-30,102.36
195,2013-10-01,102.09
196,2013-10-02,104.15
197,2013-10-03,103.29
198,2013-10-04,103.83
199,2013-10-07,103.07
200,2013-10-08,103.54
201,2013-10-09,101.63
202,2013-10-10,103.08
203,2013-10-11,102.17
204,2013-10-14,102.46
205,2013-10-15,101.15
206,2013-10-16,102.34
207,2013-10-17,100.72
208,2013-10-18,100.87
209,2013-10-21,99.28
210,2013-10-22,97.63
211,2013-10-23,96.9
212,2013-10-24,96.65
213,2013-10-25,97.4
214,2013-10-28,98.74
215,2013-10-29,98.29
216,2013-10-30,96.81
217,2013-10-31,96.29
218,2013-11-01,94.56
219,2013-11-04,94.58
220,2013-11-05,93.4
221,2013-11-06,94.74
222,2013-11-07,94.25
223,2013-11-08,94.56
224,2013-11-11,95.13
225,2013-11-12,93.12
226,2013-11-13,93.91
227,2013-11-14,93.76
228,2013-11-15,93.8
229,2013-11-18,93.03
230,2013-11-19,93.35
231,2013-11-20,93.34
232,2013-11-21,95.35
233,2013-11-22,94.53
234,2013-11-25,93.86
235,2013-11-26,93.41
236,2013-11-27,92.05
237,2013-11-28,92.05
238,2013-11-29,92.55
239,2013-12-02,93.61
240,2013-12-03,95.83
241,2013-12-04,96.97
242,2013-12-05,97.14
243,2013-12-06,97.48
244,2013-12-09,97.1
245,2013-12-10,98.32
246,2013-12-11,97.25
247,2013-12-12,97.21
248,2013-12-13,96.27
249,2013-12-16,97.18
250,2013-12-17,96.99
251,2013-12-18,97.59
252,2013-12-19,98.4
253,2013-12-20,99.11
254,2013-12-23,98.62
255,2013-12-24,98.87
256,2013-12-25,98.87
257,2013-12-26,99.18
258,2013-12-27,99.94
259,2013-12-30,98.9
260,2013-12-31,98.17
261,2014-01-01,98.17
262,2014-01-02,95.14
263,2014-01-03,93.66
264,2014-01-06,93.12
265,2014-01-07,93.31
266,2014-01-08,91.9
267,2014-01-09,91.36
268,2014-01-10,92.39
269,2014-01-13,91.45
270,2014-01-14,92.15
271,2014-01-15,93.78
272,2014-01-16,93.54
273,2014-01-17,93.96
274,2014-01-20,93.96
275,2014-01-21,94.51
276,2014-01-22,96.35
277,2014-01-23,97.23
278,2014-01-24,96.66
279,2014-01-27,95.82
280,2014-01-28,97.49
281,2014-01-29,97.34
282,2014-01-30,98.25
283,2014-01-31,97.55
284,2014-02-03,96.44
285,2014-02-04,97.24
286,2014-02-05,97.4
287,2014-02-06,97.84
288,2014-02-07,99.98
289,2014-02-10,100.12
290,2014-02-11,99.96
291,2014-02-12,100.38
292,2014-02-13,100.27
293,2014-02-14,100.31
294,2014-02-17,100.31
295,2014-02-18,102.54
296,2014-02-19,103.46
297,2014-02-20,103.2
298,2014-02-21,102.53
299,2014-02-24,103.17
300,2014-02-25,102.2
301,2014-02-26,102.93
302,2014-02-27,102.68
303,2014-02-28,102.88
304,2014-03-03,105.34
305,2014-03-04,103.64
306,2014-03-05,101.75
307,2014-03-06,101.82
308,2014-03-07,102.82
309,2014-03-10,101.39
310,2014-03-11,100.29
311,2014-03-12,98.29
312,2014-03-13,98.57
313,2014-03-14,99.23
314,2014-03-17,98.43
315,2014-03-18,100.08
316,2014-03-19,100.71
317,2014-03-20,99.68
318,2014-03-21,99.97
319,2014-03-24,100.05
320,2014-03-25,99.66
321,2014-03-26,100.61
322,2014-03-27,101.25
323,2014-03-28,101.73
324,2014-03-31,101.57
325,2014-04-01,99.69
326,2014-04-02,99.6
327,2014-04-03,100.29
328,2014-04-04,101.16
329,2014-04-07,100.43
330,2014-04-08,102.57
331,2014-04-09,103.55
332,2014-04-10,103.37
333,2014-04-11,103.68
334,2014-04-14,104.05
335,2014-04-15,103.7
336,2014-04-16,103.71
337,2014-04-17,104.33
338,2014-04-18,104.33
339,2014-04-21,104.35
340,2014-04-22,101.69
341,2014-04-23,101.47
342,2014-04-24,102.2
343,2014-04-25,100.85
344,2014-04-28,101.13
345,2014-04-29,101.56
346,2014-04-30,100.07
347,2014-05-01,99.69
348,2014-05-02,100.09
349,2014-05-05,99.74
350,2014-05-06,99.81
351,2014-05-07,101.06
352,2014-05-08,100.52
353,2014-05-09,100.32
354,2014-05-12,100.89
355,2014-05-13,102.01
356,2014-05-14,102.63
357,2014-05-15,101.74
358,2014-05-16,102.31
359,2014-05-19,102.95
360,2014-05-20,102.8
361,2014-05-21,104.31
362,2014-05-22,104.03
363,2014-05-23,105.01
364,2014-05-26,105.01
365,2014-05-27,104.78
366,2014-05-28,103.37
367,2014-05-29,104.26
368,2014-05-30,103.4
369,2014-06-02,103.07
370,2014-06-03,103.34
371,2014-06-04,103.27
372,2014-06-05,103.17
373,2014-06-06,103.32
374,2014-06-09,105.09
375,2014-06-10,105.02
376,2014-06-11,105.04
377,2014-06-12,107.2
378,2014-06-13,107.49
379,2014-06-16,107.52
380,2014-06-17,106.95
381,2014-06-18,106.64
382,2014-06-19,107.08
383,2014-06-20,107.95
384,2014-06-23,106.83
385,2014-06-24,106.64
386,2014-06-25,107.04
387,2014-06-26,106.49
388,2014-06-27,106.46
389,2014-06-30,106.07
390,2014-07-01,106.06
391,2014-07-02,105.18
392,2014-07-03,104.76
393,2014-07-04,104.76
394,2014-07-07,104.19
395,2014-07-08,104.06
396,2014-07-09,102.93
397,2014-07-10,103.61
398,2014-07-11,101.48
399,2014-07-14,101.73
400,2014-07-15,100.56
401,2014-07-16,101.88
402,2014-07-17,103.84
403,2014-07-18,103.83
404,2014-07-21,105.34
405,2014-07-22,104.59
406,2014-07-23,103.81
407,2014-07-24,102.76
408,2014-07-25,105.23
409,2014-07-28,105.68
410,2014-07-29,104.91
411,2014-07-30,104.29
412,2014-07-31,98.23
413,2014-08-01,97.86
414,2014-08-04,98.26
415,2014-08-05,97.34
416,2014-08-06,96.93
417,2014-08-07,97.34
418,2014-08-08,97.61
419,2014-08-11,98.09
420,2014-08-12,97.36
421,2014-08-13,97.57
422,2014-08-14,95.54
423,2014-08-15,97.3
424,2014-08-18,96.44
425,2014-08-19,94.35
426,2014-08-20,96.4
427,2014-08-21,93.97
428,2014-08-22,93.61
429,2014-08-25,95.39
430,2014-08-26,95.78
431,2014-08-27,95.82
432,2014-08-28,96.44
433,2014-08-29,97.86
434,2014-09-01,97.86
435,2014-09-02,92.92
436,2014-09-03,95.5
437,2014-09-04,94.51
438,2014-09-05,93.32
439,2014-09-08,92.64
440,2014-09-09,92.73
441,2014-09-10,91.71
442,2014-09-11,92.89
443,2014-09-12,92.18
444,2014-09-15,92.86
445,2014-09-16,94.91
446,2014-09-17,94.33
447,2014-09-18,93.07
448,2014-09-19,92.43
449,2014-09-22,91.46
450,2014-09-23,91.55
451,2014-09-24,93.6
452,2014-09-25,93.59
453,2014-09-26,95.55
454,2014-09-29,94.53
455,2014-09-30,91.17
456,2014-10-01,90.74
457,2014-10-02,91.02
458,2014-10-03,89.76
459,2014-10-06,90.33
460,2014-10-07,88.89
461,2014-10-08,87.29
462,2014-10-09,85.76
463,2014-10-10,85.87
464,2014-10-13,85.73
465,2014-10-14,81.72
466,2014-10-15,81.82
467,2014-10-16,82.33
468,2014-10-17,82.8
469,2014-10-20,82.76
470,2014-10-21,83.25
471,2014-10-22,80.52
472,2014-10-23,82.81
473,2014-10-24,81.27
474,2014-10-27,81.26
475,2014-10-28,81.36
476,2014-10-29,82.25
477,2014-10-30,81.06
478,2014-10-31,80.53
479,2014-11-03,78.77
480,2014-11-04,77.15
481,2014-11-05,78.71
482,2014-11-06,77.87
483,2014-11-07,78.71
484,2014-11-10,77.43
485,2014-11-11,77.85
486,2014-11-12,77.16
487,2014-11-13,74.13
488,2014-11-14,75.91
489,2014-11-17,75.64
490,2014-11-18,74.55
491,2014-11-19,74.55
492,2014-11-20,75.63
493,2014-11-21,76.52
494,2014-11-24,75.74
495,2014-11-25,74.04
496,2014-11-26,73.7
497,2014-11-27,73.7
498,2014-11-28,65.94
499,2014-12-01,68.98
500,2014-12-02,66.99
501,2014-12-03,67.3
502,2014-12-04,66.73
503,2014-12-05,65.89
504,2014-12-08,63.13
505,2014-12-09,63.74
506,2014-12-10,60.99
507,2014-12-11,60.01
508,2014-12-12,57.81
509,2014-12-15,55.96
510,2014-12-16,55.97
511,2014-12-17,56.43
512,2014-12-18,54.18
513,2014-12-19,56.91
514,2014-12-22,55.25
515,2014-12-23,56.78
516,2014-12-24,55.7
517,2014-12-25,55.7
518,2014-12-26,54.59
519,2014-12-29,53.46
520,2014-12-30,54.14
521,2014-12-31,53.45
522,2015-01-01,53.45
523,2015-01-02,52.72
524,2015-01-05,50.05
525,2015-01-06,47.98
526,2015-01-07,48.69
527,2015-01-08,48.8
528,2015-01-09,48.35
529,2015-01-12,46.06
530,2015-01-13,45.92
531,2015-01-14,48.49
532,2015-01-15,46.37
533,2015-01-16,48.49
534,2015-01-19,48.49
535,2015-01-20,46.79
536,2015-01-21,47.85
537,2015-01-22,45.93
538,2015-01-23,45.26
539,2015-01-26,44.8
540,2015-01-27,45.84
541,2015-01-28,44.08
542,2015-01-29,44.12
543,2015-01-30,47.79
544,2015-02-02,49.25
545,2015-02-03,53.04
546,2015-02-04,48.45
547,2015-02-05,50.48
548,2015-02-06,51.66
549,2015-02-09,52.99
550,2015-02-10,50.06
551,2015-02-11,48.8
552,2015-02-12,51.17
553,2015-02-13,52.66
554,2015-02-16,52.66
555,2015-02-17,53.56
556,2015-02-18,52.13
557,2015-02-19,51.12
558,2015-02-20,49.95
559,2015-02-23,49.56
560,2015-02-24,48.48
561,2015-02-25,50.25
562,2015-02-26,47.65
563,2015-02-27,49.84
564,2015-03-02,49.59
565,2015-03-03,50.43
566,2015-03-04,51.53
567,2015-03-05,50.76
568,2015-03-06,49.61
569,2015-03-09,49.95
570,2015-03-10,48.42
571,2015-03-11,48.06
572,2015-03-12,47.12
573,2015-03-13,44.88
574,2015-03-16,43.93
575,2015-03-17,43.39
576,2015-03-18,44.63
577,2015-03-19,44.02
578,2015-03-20,46.0
579,2015-03-23,47.4
580,2015-03-24,47.03
581,2015-03-25,48.75
582,2015-03-26,51.41
583,2015-03-27,48.83
584,2015-03-30,48.66
585,2015-03-31,47.72
586,2015-04-01,50.12
587,2015-04-02,49.13
588,2015-04-03,49.13
589,2015-04-06,52.08
590,2015-04-07,53.95
591,2015-04-08,50.44
592,2015-04-09,50.79
593,2015-04-10,51.63
594,2015-04-13,51.95
595,2015-04-14,53.3
596,2015-04-15,56.25
597,2015-04-16,56.69
598,2015-04-17,55.71
599,2015-04-20,56.37
600,2015-04-21,55.58
601,2015-04-22,56.17
602,2015-04-23,56.59
603,2015-04-24,55.98
604,2015-04-27,55.56
605,2015-04-28,57.05
606,2015-04-29,58.55
607,2015-04-30,59.62
608,2015-05-01,59.1
609,2015-05-04,58.92
610,2015-05-05,60.38
611,2015-05-06,60.93
612,2015-05-07,58.99
613,2015-05-08,59.41
614,2015-05-11,59.23
615,2015-05-12,60.72
616,2015-05-13,60.5
617,2015-05-14,59.89
618,2015-05-15,59.73
619,2015-05-18,59.44
620,2015-05-19,57.3
621,2015-05-20,58.96
622,2015-05-21,60.18
623,2015-05-22,58.88
624,2015-05-25,58.88
625,2015-05-26,57.29
626,2015-05-27,57.51
627,2015-05-28,57.69
628,2015-05-29,60.25
629,2015-06-01,60.24
630,2015-06-02,61.3
631,2015-06-03,59.67
632,2015-06-04,58.0
633,2015-06-05,59.11
634,2015-06-08,58.15
635,2015-06-09,60.15
636,2015-06-10,61.36
637,2015-06-11,60.74
638,2015-06-12,59.96
639,2015-06-15,59.53
640,2015-06-16,60.01
641,2015-06-17,59.89
642,2015-06-18,60.41
643,2015-06-19,59.62
644,2015-06-22,60.01
645,2015-06-23,61.05
646,2015-06-24,60.01
647,2015-06-25,59.59
648,2015-06-26,59.41
649,2015-06-29,58.34
650,2015-06-30,59.48
651,2015-07-01,56.94
652,2015-07-02,56.93
653,2015-07-03,56.93
654,2015-07-06,52.48
655,2015-07-07,52.33
656,2015-07-08,51.61
657,2015-07-09,52.76
658,2015-07-10,52.74
659,2015-07-13,52.19
660,2015-07-14,53.05
661,2015-07-15,51.4
662,2015-07-16,50.9
663,2015-07-17,50.88
664,2015-07-20,50.11
665,2015-07-21,50.59
666,2015-07-22,49.27
667,2015-07-23,48.11
668,2015-07-24,47.98
669,2015-07-27,47.17
670,2015-07-28,47.97
671,2015-07-29,48.77
672,2015-07-30,48.53
673,2015-07-31,47.11
674,2015-08-03,45.25
675,2015-08-04,45.75
676,2015-08-05,45.13
677,2015-08-06,44.69
678,2015-08-07,43.87
679,2015-08-10,44.94
680,2015-08-11,43.11
681,2015-08-12,43.22
682,2015-08-13,42.27
683,2015-08-14,42.45
684,2015-08-17,41.93
685,2015-08-18,42.58
686,2015-08-19,40.75
687,2015-08-20,41.0
688,2015-08-21,40.45
689,2015-08-24,38.22
690,2015-08-25,39.15
691,2015-08-26,38.5
692,2015-08-27,42.47
693,2015-08-28,45.29
694,2015-08-31,49.2
695,2015-09-01,45.38
696,2015-09-02,46.3
697,2015-09-03,46.75
698,2015-09-04,46.02
699,2015-09-07,46.02
700,2015-09-08,45.92
701,2015-09-09,44.13
702,2015-09-10,45.85
703,2015-09-11,44.75
704,2015-09-14,44.07
705,2015-09-15,44.58
706,2015-09-16,47.12
707,2015-09-17,46.93
708,2015-09-18,44.71
709,2015-09-21,46.67
710,2015-09-22,46.17
711,2015-09-23,44.53
712,2015-09-24,44.94
713,2015-09-25,45.55
714,2015-09-28,44.4
715,2015-09-29,45.24
716,2015-09-30,45.06
717,2015-10-01,44.75
718,2015-10-02,45.54
719,2015-10-05,46.28
720,2015-10-06,48.53
721,2015-10-07,47.86
722,2015-10-08,49.46
723,2015-10-09,49.67
724,2015-10-12,47.09
725,2015-10-13,46.7
726,2015-10-14,46.63
727,2015-10-15,46.38
728,2015-10-16,47.3
729,2015-10-19,45.91
730,2015-10-20,45.84
731,2015-10-21,45.22
732,2015-10-22,44.9
733,2015-10-23,43.91
734,2015-10-26,43.19
735,2015-10-27,43.21
736,2015-10-28,45.93
737,2015-10-29,46.02
738,2015-10-30,46.6
739,2015-11-02,46.12
740,2015-11-03,47.88
741,2015-11-04,46.32
742,2015-11-05,45.27
743,2015-11-06,44.32
744,2015-11-09,43.87
745,2015-11-10,44.23
746,2015-11-11,42.95
747,2015-11-12,41.74
748,2015-11-13,40.69
749,2015-11-16,41.68
750,2015-11-17,40.73
751,2015-11-18,40.75
752,2015-11-19,40.55
753,2015-11-20,39.39
754,2015-11-23,39.27
755,2015-11-24,40.89
756,2015-11-25,41.22
757,2015-11-26,41.22
758,2015-11-27,40.57
759,2015-11-30,40.43
760,2015-12-01,40.58
761,2015-12-02,39.93
762,2015-12-03,41.08
763,2015-12-04,40.0
764,2015-12-07,37.64
765,2015-12-08,37.46
766,2015-12-09,37.16
767,2015-12-10,36.76
768,2015-12-11,35.65
769,2015-12-14,36.31
770,2015-12-15,37.32
771,2015-12-16,35.55
772,2015-12-17,34.98
773,2015-12-18,34.72
774,2015-12-21,34.55
775,2015-12-22,36.12
776,2015-12-23,36.76
777,2015-12-24,37.62
778,2015-12-25,37.62
779,2015-12-28,36.36
780,2015-12-29,37.88
781,2015-12-30,36.59
782,2015-12-31,37.13
783,2016-01-01,37.13
784,2016-01-04,36.81
785,2016-01-05,35.97
786,2016-01-06,33.97
787,2016-01-07,33.29
788,2016-01-08,33.2
789,2016-01-11,31.42
790,2016-01-12,30.42
791,2016-01-13,30.42
792,2016-01-14,31.22
793,2016-01-15,29.45
794,2016-01-18,29.45
795,2016-01-19,28.47
796,2016-01-20,26.68
797,2016-01-21,29.55
798,2016-01-22,32.07
799,2016-01-25,30.31
800,2016-01-26,29.54
801,2016-01-27,32.32
802,2016-01-28,33.21
803,2016-01-29,33.66
804,2016-02-01,31.62
805,2016-02-02,29.9
806,2016-02-03,32.29
807,2016-02-04,31.63
808,2016-02-05,30.86
809,2016-02-08,29.71
810,2016-02-09,27.96
811,2016-02-10,27.54
812,2016-02-11,26.19
813,2016-02-12,29.32
814,2016-02-15,29.32
815,2016-02-16,29.05
816,2016-02-17,30.68
817,2016-02-18,30.77
818,2016-02-19,29.59
819,2016-02-22,31.37
820,2016-02-23,31.84
821,2016-02-24,30.35
822,2016-02-25,31.4
823,2016-02-26,31.65
824,2016-02-29,32.74
825,2016-03-01,34.39
826,2016-03-02,34.57
827,2016-03-03,34.56
828,2016-03-04,35.91
829,2016-03-07,37.9
830,2016-03-08,36.67
831,2016-03-09,37.62
832,2016-03-10,37.77
833,2016-03-11,38.51
834,2016-03-14,37.2
835,2016-03-15,36.32
836,2016-03-16,38.43
837,2016-03-17,40.17
838,2016-03-18,39.47
839,2016-03-21,39.91
840,2016-03-22,41.45
841,2016-03-23,38.28
842,2016-03-24,38.14
843,2016-03-25,38.14
844,2016-03-28,37.99
845,2016-03-29,36.91
846,2016-03-30,36.91
847,2016-03-31,36.94
848,2016-04-01,35.36
849,2016-04-04,34.3
850,2016-04-05,34.52
851,2016-04-06,37.74
852,2016-04-07,37.3
853,2016-04-08,39.74
854,2016-04-11,40.46
855,2016-04-12,42.12
856,2016-04-13,41.7
857,2016-04-14,41.45
858,2016-04-15,40.4
859,2016-04-18,39.74
860,2016-04-19,40.88
861,2016-04-20,42.72
862,2016-04-21,43.18
863,2016-04-22,42.76
864,2016-04-25,41.67
865,2016-04-26,42.52
866,2016-04-27,45.29
867,2016-04-28,46.03
868,2016-04-29,45.98
869,2016-05-02,44.75
870,2016-05-03,43.65
871,2016-05-04,43.77
872,2016-05-05,44.33
873,2016-05-06,44.58
874,2016-05-09,43.45
875,2016-05-10,44.68
876,2016-05-11,46.21
877,2016-05-12,46.64
878,2016-05-13,46.22
879,2016-05-16,47.72
880,2016-05-17,48.29
881,2016-05-18,48.12
882,2016-05-19,48.16
883,2016-05-20,47.67
884,2016-05-23,48.12
885,2016-05-24,48.04
886,2016-05-25,49.1
887,2016-05-26,49.0
888,2016-05-27,49.36
889,2016-05-30,49.36
890,2016-05-31,49.1
891,2016-06-01,49.07
892,2016-06-02,49.14
893,2016-06-03,48.69
894,2016-06-06,49.71
895,2016-06-07,50.37
896,2016-06-08,51.23
897,2016-06-09,50.52
898,2016-06-10,49.09
899,2016-06-13,48.89
900,2016-06-14,48.49
901,2016-06-15,47.92
902,2016-06-16,46.14
903,2016-06-17,48.0
904,2016-06-20,49.4
905,2016-06-21,48.95
906,2016-06-22,49.16
907,2016-06-23,49.34
908,2016-06-24,46.7
909,2016-06-27,45.8
910,2016-06-28,47.93
911,2016-06-29,49.85
912,2016-06-30,48.27
913,2016-07-01,49.02
914,2016-07-04,49.02
915,2016-07-05,46.73
916,2016-07-06,47.37
917,2016-07-07,45.22
918,2016-07-08,45.37
919,2016-07-11,44.73
920,2016-07-12,46.82
921,2016-07-13,44.87
922,2016-07-14,45.64
923,2016-07-15,45.93
924,2016-07-18,45.23
925,2016-07-19,44.64
926,2016-07-20,44.96
927,2016-07-21,43.96
928,2016-07-22,43.41
929,2016-07-25,42.4
930,2016-07-26,42.16
931,2016-07-27,41.9
932,2016-07-28,41.13
933,2016-07-29,41.54
934,2016-08-01,40.05
935,2016-08-02,39.5
936,2016-08-03,40.8
937,2016-08-04,41.92
938,2016-08-05,41.83
939,2016-08-08,43.06
940,2016-08-09,42.78
941,2016-08-10,41.75
942,2016-08-11,43.51
943,2016-08-12,44.47
944,2016-08-15,45.72
945,2016-08-16,46.57
946,2016-08-17,46.81
947,2016-08-18,48.2
948,2016-08-19,48.48
949,2016-08-22,46.8
950,2016-08-23,47.54
951,2016-08-24,46.29
952,2016-08-25,46.97
953,2016-08-26,47.64
954,2016-08-29,46.97
955,2016-08-30,46.32
956,2016-08-31,44.68
957,2016-09-01,43.17
958,2016-09-02,44.39
959,2016-09-05,44.39
960,2016-09-06,44.85
961,2016-09-07,45.47
962,2016-09-08,47.63
963,2016-09-09,45.88
964,2016-09-12,46.28
965,2016-09-13,44.91
966,2016-09-14,43.62
967,2016-09-15,43.85
968,2016-09-16,43.04
969,2016-09-19,43.34
970,2016-09-20,43.85
971,2016-09-21,45.33
972,2016-09-22,46.1
973,2016-09-23,44.36
974,2016-09-26,45.6
975,2016-09-27,44.65
976,2016-09-28,47.07
977,2016-09-29,47.72
978,2016-09-30,47.72
979,2016-10-03,48.8
980,2016-10-04,48.67
981,2016-10-05,49.75
982,2016-10-06,50.44
983,2016-10-07,49.76
984,2016-10-10,49.76
985,2016-10-11,50.72
986,2016-10-12,50.14
987,2016-10-13,50.47
988,2016-10-14,50.35
989,2016-10-17,49.97
990,2016-10-18,50.3
991,2016-10-19,51.59
992,2016-10-20,50.31
993,2016-10-21,50.61
994,2016-10-24,50.18
995,2016-10-25,49.45
996,2016-10-26,48.75
997,2016-10-27,49.71
998,2016-10-28,48.72
999,2016-10-31,46.83
1000,2016-11-01,46.66
1001,2016-11-02,45.32
1002,2016-11-03,44.66
1003,2016-11-04,44.07
1004,2016-11-07,44.88
1005,2016-11-08,44.96
1006,2016-11-09,45.2
1007,2016-11-10,44.62
1008,2016-11-11,43.39
1009,2016-11-14,43.29
1010,2016-11-15,45.86
1011,2016-11-16,45.56
1012,2016-11-17,45.37
1013,2016-11-18,45.69
1014,2016-11-21,47.48
1015,2016-11-22,48.07
1016,2016-11-23,46.72
1017,2016-11-24,46.72
1018,2016-11-25,46.72
1019,2016-11-28,45.66
1020,2016-11-29,45.29
1021,2016-11-30,49.41
1022,2016-12-01,51.08
1023,2016-12-02,51.7
1024,2016-12-05,51.72
1025,2016-12-06,50.95
1026,2016-12-07,49.85
1027,2016-12-08,50.84
1028,2016-12-09,51.51
1029,2016-12-12,52.74
1030,2016-12-13,52.99
1031,2016-12-14,51.01
1032,2016-12-15,50.9
1033,2016-12-16,51.93
1034,2016-12-19,52.13
1035,2016-12-20,52.22
1036,2016-12-21,51.44
1037,2016-12-22,51.98
1038,2016-12-23,52.01
1039,2016-12-26,52.01
1040,2016-12-27,52.82
1041,2016-12-28,54.01
1042,2016-12-29,53.8
1043,2016-12-30,53.75
1044,2017-01-02,53.75
1045,2017-01-03,52.36
1046,2017-01-04,53.26
1047,2017-01-05,53.77
1048,2017-01-06,53.98
1049,2017-01-09,51.95
1050,2017-01-10,50.82
1051,2017-01-11,52.19
1052,2017-01-12,53.01
1053,2017-01-13,52.36
1054,2017-01-16,52.36
1055,2017-01-17,52.45
1056,2017-01-18,51.12
1057,2017-01-19,51.39
1058,2017-01-20,52.33
1059,2017-01-23,52.77
1060,2017-01-24,52.38
1061,2017-01-25,52.14
1062,2017-01-26,53.24
1063,2017-01-27,53.18
1064,2017-01-30,52.63
1065,2017-01-31,52.75
1066,2017-02-01,53.9
1067,2017-02-02,53.55
1068,2017-02-03,53.81
